file-name-wrapper href	name-span	file-name-wrapper	uploaded-wrapper
https://platform.openai.com/storage/files/file-DH3pC9E3i4d1BQlB66dm5rW4	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-27/grahamHancockAliensAtlantisTheApocalypse	.txt	9/27/2024, 8:10 AM
https://platform.openai.com/storage/files/file-GHfoADCHWyXd5yHxITLt1Xue	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-27/thePhysicsOfUfosEricWeinsteinAndHalPuthoff	.txt	9/27/2024, 8:09 AM
https://platform.openai.com/storage/files/file-O36y7zWmiMYcAnB0FhSE63gb	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-27/davidGruschOnJesseMichels	.txt	9/27/2024, 8:06 AM
https://platform.openai.com/storage/files/file-FvKmDNzDS3qrGyE5Enf4bP4r	thedebrief.org-Intelligence Officials Say US Has Retrieved Craft of Non-Human Origin	.pdf	9/17/2024, 5:17 PM
https://platform.openai.com/storage/files/file-LfHkLzvHUZDwv639hKIplqmJ	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-17/aerospaceSSecretSearchForAntigravity	.txt	9/17/2024, 3:42 PM
https://platform.openai.com/storage/files/file-nPUFD80lexBxSSU9gbh8aHhG	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-11/bobLazarDocumentary1989	.txt	9/11/2024, 3:15 PM
https://platform.openai.com/storage/files/file-Ss0oZQHNpNZ6IsRqYBZwS9IP	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-10/flyingSaucersAndScienceStantonFriedman	.txt	9/10/2024, 5:43 AM
https://platform.openai.com/storage/files/file-Do6movuo6ZFqXTT2JGc9p0h9	UFOs in Art History	.pdf	9/10/2024, 5:34 AM
https://platform.openai.com/storage/files/file-DUAJknE7D01Cns5VdvXaXCXd	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-10/joeRoganExperience2091DianaWalshPasulka	.txt	9/10/2024, 4:29 AM
https://platform.openai.com/storage/files/file-hNyXg8OocgVxzJBTOW5ZzHuJ	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-09/bobLazarNewsInterviewOnS4Part5	.txt	9/9/2024, 6:34 PM
https://platform.openai.com/storage/files/file-lHWyILDLzDCI0wB0GaRc6o5q	UFODangerZone-BobPratt	.txt	9/9/2024, 6:01 PM
https://platform.openai.com/storage/files/file-mJWZXGrwnt8Lg5n42yHupeYY	UAP-Timeline	.pdf	9/9/2024, 5:31 PM
https://platform.openai.com/storage/files/file-bhownBhuYMADljCYbg0SdkuK	theufodatabase.com-UFO Timeline  The UFO Database	.pdf	9/9/2024, 5:31 PM
https://platform.openai.com/storage/files/file-qWZXAEM6PxliEZfwbipJXO6A	Inflation Theory Implications	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-4YoU34xiw7vr9UK1k71Gg5qf	Mind Reach Journal of Parapyschology - Hal Puthoff	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-MaDjWw0TzBADmKqjpt52PgLD	MCCA UAP Reference Guide June 2024	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-2Qj8zGJz4aFXjOyHcDLECy5M	DOD Pyschoengergetics Program - Hal Puthoff	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-ohaNlkKWZP2pq7vnQbLZVygV	Ultraterrestrial Models	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-uP7uNwzwOfeUd4taz4NG7NOi	Gerald Ford Ufo Press Release 1966	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-qNeip1nMhVbJxlQ81bRjOcNo	US Police UFO Handbook	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-9s4ouxmXzF6u1S8wN9JCMP9d	Mind-Reach Book Cover	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-OpkZ9RGQDGWJJsjtMqpTym8R	Extraterrestrial Life in the Thermosphere_ Plasmas, UAP, Pre-Life, Fourth State of Matter	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-WCBGBLr4lHpNWiaZgoh84cNY	Advanced Space Propulsion	.pdf	9/8/2024, 3:48 PM
https://platform.openai.com/storage/files/file-yqXBVoA5itRgSvsIdq2rmBVN	wilson-memo	.txt	9/1/2024, 7:33 AM
https://platform.openai.com/storage/files/file-PFovJUtRNjkOgeJb8DIiq7nJ	Cryptoterrestrial Hypothesis 2024	.pdf	9/1/2024, 7:26 AM
https://platform.openai.com/storage/files/file-FDvwPAWf9N0FH588HGnJBx0S	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-09-01/rossCoulthartDiscussesTheStateOfDisclosureOnRealityCheck	.txt	9/1/2024, 7:24 AM
https://platform.openai.com/storage/files/file-bUUTk8OhWfpOVOBPYLSYrBB8	/Users/liamellis/Desktop/scripts/youtube-transcription-service/transcripts/2024-08-30/joeRoganExperience2194LuisElizondo	.txt	8/30/2024, 6:42 PM
https://platform.openai.com/storage/files/file-aPqzh3E7ltQ5qh9ogz6LvV9e	Project Blue Book Ramstein 1962	.pdf	8/8/2024, 6:18 AM
https://platform.openai.com/storage/files/file-kwUltZVDcOZN8yJ70940llsZ	ufoBuzzesJapanAirlinesFaaSCallahanReveals	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-92fvFLSpnn51U7z2Eq5XhwrS	saucerShapedObjectsOverDC	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-XhYVSQF54KSqSkNs2ydAywfc	coldFusionAndBeyondWithDrEugeneMallove	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-phTJ6gA76v9f17K8MV91UJWY	reEngineeringAnEtCraft	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-MD4rzooUkWtl1FiSclJov0ke	hiddenEnergyDrHalPuthoff	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-sviYIU3EIF5VDsZAtKghIJoH	file-sviYIU3EIF5VDsZAtKghIJoH		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-W6fuipvKYtlNXocjpqdUwIgh	file-W6fuipvKYtlNXocjpqdUwIgh		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-WF71w21WYKV4tzQKdX91mV8k	file-WF71w21WYKV4tzQKdX91mV8k		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-3Lf60vJTLozWNWHLaUaIfyc0	file-3Lf60vJTLozWNWHLaUaIfyc0		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-saHifNXpc1STkudqUWL7ucEO	file-saHifNXpc1STkudqUWL7ucEO		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-Tz0v4OY87Vmloz5YqcRwulvs	file-Tz0v4OY87Vmloz5YqcRwulvs		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-v7jC5Pff4qsiJAMYRCtMHBSe	file-v7jC5Pff4qsiJAMYRCtMHBSe		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-wqimQFCGf5oNNI5TF0uCCOVH	file-wqimQFCGf5oNNI5TF0uCCOVH		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-tb93y2k0xFVHLHLPCwBOnOY7	file-tb93y2k0xFVHLHLPCwBOnOY7		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-y13nfUvDSbzeHGKlxIPMCaCx	file-y13nfUvDSbzeHGKlxIPMCaCx		8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-sviYIU3EIF5VDsZAtKghIJoH	theUnderdogsOfNewEnergy	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-W6fuipvKYtlNXocjpqdUwIgh	theDeMaterializationProjectWithFredThrelfallCommunicationsInstructorRaf	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-WF71w21WYKV4tzQKdX91mV8k	closeEncountersInVietnam	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-3Lf60vJTLozWNWHLaUaIfyc0	secretProjectsAtMcdonnellDouglas	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-saHifNXpc1STkudqUWL7ucEO	pushingThePlanetForwardDrTedLoder	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-Tz0v4OY87Vmloz5YqcRwulvs	etExtraterrestrialStructuresOnTheMoonSgtKarlWolfe	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-v7jC5Pff4qsiJAMYRCtMHBSe	fromTheAircatFilesDrHaines	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-wqimQFCGf5oNNI5TF0uCCOVH	theMinistrySUfoFilesWithNickPopeBritishMod	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-tb93y2k0xFVHLHLPCwBOnOY7	ufoOverUssRooseveltHarryAllenJordan	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-y13nfUvDSbzeHGKlxIPMCaCx	roswellRevisitedColonelPhillipJCorso	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-7DKi4lT9mY8sZnZgYhB9vI50	astronautGordonCooperSUfoExperience	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-UuSX4Sd7bWlZIGO7OBuHw0eU	etsShutDownNuclearMissileSitesCaptainRobertSalasReveals	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-tis87d4qFlXTwqLo9L16QLTd	roswellSMorticianExplosiveTestimony	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-J8KGGHEx87jFcagoAmxaHyJg	projectBlueBookAnInsiderSpeaksBrigadierGeneralStephenLovekinEsq	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-aTbnJMp3L0hVkjbtCQmLTERT	ufoCoverUpDrPaulCzysz	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-rT4xlmGWwKHHEug73N1iwEU5	silentTriangleOverLoringLtColJoeWojtecki	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-dkMYIFwtw7SWpJpECcmJ8DGw	ufoAtTheChineseEmbassy	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-nJGJe4a2yJByQ6UJ0pifjokC	approachingZeroPointWithTomValonePhd	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-kdXAXPJ1VtLE8gIog92vQncq	formerAerospaceEmployeeRevealsTheSecretsOfProjectRedLight	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-69k04OQ0nymSS6p8hQdKIxx5	aNewEnergyParadigmWitnessTestimonyFromDavidHamiltonDoe	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-v5Z5bD5cqRqfGYpZRR22Dz2c	colonelCorsoSEtLegacy	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-IKM9hwpiJ3XslVlb8iFRQVyf	formerMinisterPaulHellyerOnTheUfoConspiracy	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-cEqjZYZQkvYFUlJMEojvoMr5	technologyFromExtraterrestrialsLockheedSkunkworksMore	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-uqIEusorxAmrC1JsPUFQYlHU	etExtraterrestrialShotAndKilledMufonSGeorgeFilerReveals	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-39PiE2VchoX9RugiOm0Gfiky	johnRamirezCiaRetiredUfosUapsEncountersPart1	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-OCdP5pLHfXrMpp34ci27rpaX	ufoDestroysVandenbergMissileProfRobertJacobsTestifies	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-WXprz8cfV9t9r5NVRgCyCp2o	theBentwatersIncidentCaptainLoriRehfeldt	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-qRc2GiNkgdhY7YoCTEEg8SCz	theNasaConspiracyDonnaHareWitnessTestimonyAirbrushedMoonPhotos	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-WWUGtnNnVST0oYWvOq4zDaH0	area51TechnicianSSonDisclosesSecretAlternativeEnergy	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-5n8JAgnWzIIgEsAAqFjlfwwe	policeOfficerReportsDiamondShapedObjectsOnTheA646	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-0uEHJG3yLA1GUuYC7of7uwwr	secretCraftHiddenPhotos	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-utQTSRltxr04YgWzCOFfBoeT	johnRamirezCiaRetUfosTheCiaMorePart2	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-lPZyBprGU5xgQyav9Ny35JRj	blueprintForAUfoPresentedByDrStevenGreer	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-KU9i9qLDpvQjYXwgLvYjRhWf	astronautEdgarMitchellEtTestimony	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-1aTphhtCXL9fi9MaterOzKUF	storiesFromAMilitaryElectronicsTechnician1950sSightings	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-wWBJTnATN0dfYIso9KoRSYNX	projectGrudgeTheTipOfTheUfoIceberg	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-F277hLtZcf9SjeU3FlgKqqtQ	pullingEnergyFromTheVacuumLtColThomasBearden	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-LvZq1ZAYAxfTEm35StfXI2mm	richardDotyAfosiArea51Testimony	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-82CiLbc1WZ08eXy4Ua4oSEoT	ufoFilesOfTheItalianAirForceWithDrRobertoPinotti	.txt	8/7/2024, 9:42 PM
https://platform.openai.com/storage/files/file-fN3cxfzKtc9FUCZIKnxnTTGI	theBentwatersIncidentSecurityOfficerLarryWarren	.txt	8/7/2024, 9:42 PM
